"","EngineCylinders","Fuel","HighwayMPG","CityMPG","AvgCombinedMPG"
"1",0,"Electricity",101.5,119.2,111.235
"2",2,"Gasoline",33,36,34.65
"3",3,"Gasoline",37.5,31,33.925
"4",4,"Diesel",34.5,25.5,29.55
"5",4,"Gasoline",31.1041666666667,23.875,27.128125
"6",6,"Diesel",28.5,22.5,25.2
"7",6,"Gasoline",25.4324324324324,18.0540540540541,21.3743243243243
"8",8,"Gasoline",21.8666666666667,14.7,17.925
"9",10,"Gasoline",20.6666666666667,13.3333333333333,16.6333333333333
"10",12,"Gasoline",18.7142857142857,12,15.0214285714286
